timestamp,device_id,puf_type,temp,voltage,age_days,is_attack,counter,n_flipped,flipped_0,flipped_1,flipped_2,flipped_3,flipped_4,flipped_5,flipped_6,flipped_7,flipped_8,flipped_9,flipped_10,flipped_11,flipped_12,flipped_13,flipped_14,flipped_15,flipped_16,flipped_17,flipped_18,flipped_19,flipped_20,flipped_21,flipped_22,flipped_23,flipped_24,flipped_25,flipped_26,flipped_27,flipped_28,flipped_29,flipped_30,flipped_31,flipped_32,flipped_33,flipped_34,flipped_35,flipped_36,flipped_37,flipped_38,flipped_39,flipped_40,flipped_41,flipped_42,flipped_43,flipped_44,flipped_45,flipped_46,flipped_47,flipped_48,flipped_49,flipped_50,flipped_51,flipped_52,flipped_53,flipped_54,flipped_55,flipped_56,flipped_57,flipped_58,flipped_59,flipped_60,flipped_61,flipped_62,flipped_63
0,sram_dev_0,sram,10.332121978265814,1.7326440589139311,236.45833965490735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,sram_dev_1,sram,17.63507847527277,1.775285863551366,46.554437346173074,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,sram_dev_0,sram,18.656014461733093,1.789770539442462,68.25675381819376,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,sram_dev_1,sram,21.967358362829614,1.7614437055052663,292.7881435757487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,sram_dev_0,sram,15.180146821352396,1.8153598001295106,20.62643601119659,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,sram_dev_1,sram,11.058849501839134,1.7905691509015116,307.1239306361532,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,sram_dev_0,sram,18.824130671270844,1.8135462347887363,87.12734052583585,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sram_dev_1,sram,18.863599091942156,1.8206516180245655,65.42622815444464,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,sram_dev_0,sram,15.668519318940598,1.7812810686408116,308.0831305571954,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,sram_dev_1,sram,22.558424638708082,1.769531494296629,329.2290424677261,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,sram_dev_0,sram,14.872747121554548,1.7586157675749523,136.3534658565264,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,sram_dev_1,sram,24.720388774470404,1.8047910623878922,187.81575940310526,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,sram_dev_0,sram,18.16185120842794,1.876244305329953,25.16417898269356,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,sram_dev_1,sram,12.194740399207324,1.827446206689352,349.35705689842854,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,sram_dev_0,sram,11.652536779061418,1.7558261372145687,22.66332687950793,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,sram_dev_1,sram,19.110457050343886,1.810045680606459,270.8288856995432,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,sram_dev_0,sram,11.7864588736922,1.8452863327486322,254.38318535243826,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,sram_dev_1,sram,23.334538620381153,1.799795416718932,105.05673927179151,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
